Symbol,Reason
BCC/USDT,last_price u open_price incompletos
VEN/USDT,last_price u open_price incompletos
PAX/USDT,last_price u open_price incompletos
BCHABC/USDT,last_price u open_price incompletos
BSV/USDT,last_price u open_price incompletos
WAVES/USDT,last_price u open_price incompletos
BTT/USDT,last_price u open_price incompletos
USDS/USDT,last_price u open_price incompletos
XMR/USDT,last_price u open_price incompletos
NANO/USDT,last_price u open_price incompletos
OMG/USDT,last_price u open_price incompletos
MITH/USDT,last_price u open_price incompletos
MATIC/USDT,last_price u open_price incompletos
USDSB/USDT,last_price u open_price incompletos
GTO/USDT,last_price u open_price incompletos
ERD/USDT,last_price u open_price incompletos
NPXS/USDT,last_price u open_price incompletos
COCOS/USDT,last_price u open_price incompletos
TOMO/USDT,last_price u open_price incompletos
PERL/USDT,last_price u open_price incompletos
MFT/USDT,last_price u open_price incompletos
KEY/USDT,last_price u open_price incompletos
STORM/USDT,last_price u open_price incompletos
DOCK/USDT,last_price u open_price incompletos
BUSD/USDT,last_price u open_price incompletos
BEAM/USDT,last_price u open_price incompletos
REN/USDT,last_price u open_price incompletos
HC/USDT,last_price u open_price incompletos
MCO/USDT,last_price u open_price incompletos
USDT/RUB,last_price u open_price incompletos
DREP/USDT,last_price u open_price incompletos
BULL/USDT,last_price u open_price incompletos
BEAR/USDT,last_price u open_price incompletos
ETHBULL/USDT,last_price u open_price incompletos
ETHBEAR/USDT,last_price u open_price incompletos
TCT/USDT,last_price u open_price incompletos
BTS/USDT,last_price u open_price incompletos
EOSBULL/USDT,last_price u open_price incompletos
EOSBEAR/USDT,last_price u open_price incompletos
XRPBULL/USDT,last_price u open_price incompletos
XRPBEAR/USDT,last_price u open_price incompletos
STRAT/USDT,last_price u open_price incompletos
AION/USDT,last_price u open_price incompletos
BNBBULL/USDT,last_price u open_price incompletos
BNBBEAR/USDT,last_price u open_price incompletos
WTC/USDT,last_price u open_price incompletos
XZC/USDT,last_price u open_price incompletos
USDT/IDRT,last_price u open_price incompletos
BTCUP/USDT,last_price u open_price incompletos
BTCDOWN/USDT,last_price u open_price incompletos
GXS/USDT,last_price u open_price incompletos
LEND/USDT,last_price u open_price incompletos
REP/USDT,last_price u open_price incompletos
PNT/USDT,last_price u open_price incompletos
USDT/BIDR,last_price u open_price incompletos
BKRW/USDT,last_price u open_price incompletos
ETHUP/USDT,last_price u open_price incompletos
ETHDOWN/USDT,last_price u open_price incompletos
ADAUP/USDT,last_price u open_price incompletos
ADADOWN/USDT,last_price u open_price incompletos
LINKUP/USDT,last_price u open_price incompletos
LINKDOWN/USDT,last_price u open_price incompletos
GBP/USDT,last_price u open_price incompletos
DAI/USDT,last_price u open_price incompletos
BNBUP/USDT,last_price u open_price incompletos
BNBDOWN/USDT,last_price u open_price incompletos
XTZUP/USDT,last_price u open_price incompletos
XTZDOWN/USDT,last_price u open_price incompletos
USDT/BKRW,last_price u open_price incompletos
AUD/USDT,last_price u open_price incompletos
IRIS/USDT,last_price u open_price incompletos
SRM/USDT,last_price u open_price incompletos
ANT/USDT,last_price u open_price incompletos
OCEAN/USDT,last_price u open_price incompletos
WNXM/USDT,last_price u open_price incompletos
BZRX/USDT,last_price u open_price incompletos
YFII/USDT,last_price u open_price incompletos
EOSUP/USDT,last_price u open_price incompletos
EOSDOWN/USDT,last_price u open_price incompletos
TRXUP/USDT,last_price u open_price incompletos
TRXDOWN/USDT,last_price u open_price incompletos
XRPUP/USDT,last_price u open_price incompletos
XRPDOWN/USDT,last_price u open_price incompletos
DOTUP/USDT,last_price u open_price incompletos
DOTDOWN/USDT,last_price u open_price incompletos
USDT/NGN,last_price u open_price incompletos
LTCUP/USDT,last_price u open_price incompletos
LTCDOWN/USDT,last_price u open_price incompletos
NBS/USDT,last_price u open_price incompletos
HNT/USDT,last_price u open_price incompletos
UNIUP/USDT,last_price u open_price incompletos
UNIDOWN/USDT,last_price u open_price incompletos
ORN/USDT,last_price u open_price incompletos
SXPUP/USDT,last_price u open_price incompletos
SXPDOWN/USDT,last_price u open_price incompletos
FILUP/USDT,last_price u open_price incompletos
FILDOWN/USDT,last_price u open_price incompletos
YFIUP/USDT,last_price u open_price incompletos
YFIDOWN/USDT,last_price u open_price incompletos
BCHUP/USDT,last_price u open_price incompletos
BCHDOWN/USDT,last_price u open_price incompletos
