symbol,price,amount
SFP/USDT,0.7331285714285715,798.0
FXS/USDT,3.0402413907284767,302.0
DODO/USDT,0.15186789933022124,4927.0
ACM/USDT,1.7008095652173914,345.0
AUCTION/USDT,16.1932,43.0
PHA/USDT,0.15445227496553082,5077.0
BADGER/USDT,3.636945396825397,189.0
FIS/USDT,0.3856562994522215,1643.0
OM/USDT,3.5614935400516794,387.0
POND/USDT,0.01926,18446.0
DEGO/USDT,2.3290184375,288.0
ALICE/USDT,1.430567145522388,536.0
LINA/USDT,0.005582,18446.0
PERP/USDT,0.8781474456018519,864.0
SUPER/USDT,1.2863625,432.0
CFX/USDT,0.18363805732484076,3768.0
TKO/USDT,0.3637010042865891,1633.0
PUNDIX/USDT,0.6123423809523809,1428.0
TLM/USDT,0.01341,18446.0
BAR/USDT,2.2047558333333335,240.0
FORTH/USDT,3.890455,180.0
BAKE/USDT,0.30664187012987015,2310.0
BURGER/USDT,0.49235820029027577,1378.0
ICP/USDT,11.15561115942029,69.0
AR/USDT,20.386063888888888,36.0
MASK/USDT,3.64294375,176.0
LPT/USDT,14.324768867924528,53.0
ATA/USDT,0.11393396169958109,6684.0
GTC/USDT,0.9393531356898518,877.0
ERN/USDT,2.7368698039215684,255.0
MLN/USDT,17.71555787878788,33.0
DEXE/USDT,8.52654196969697,66.0
C98/USDT,0.17816507328812076,4571.0
CLV/USDT,0.08630538593733059,18446.0
QNT/USDT,91.4065875,8.0
FLOW/USDT,0.8671671917808219,1022.0
MINA/USDT,0.7549754962546816,1068.0
RAY/USDT,5.366938513513514,148.0
FARM/USDT,53.285702307692304,13.0
ALPACA/USDT,0.19423883171762366,4023.0
QUICK/USDT,0.04936210870133263,15308.0
MBOX/USDT,0.24310316241685145,3608.0
GHST/USDT,1.1166216168717047,569.0
WAXP/USDT,0.05289125524231127,17168.0
GNO/USDT,264.2511,2.0
DYDX/USDT,1.5581536775956284,549.0
USDP/USDT,0.999790380761523,499.0
GALA/USDT,0.03669583486934837,18446.0
ILV/USDT,54.261979333333336,15.0
YGG/USDT,0.6356283197389886,1226.0
DF/USDT,0.0409725765817349,17465.0
FIDA/USDT,0.28406695296523515,2445.0
AGLD/USDT,1.4025484615384616,390.0
RAD/USDT,1.4665369803063457,457.0
BETA/USDT,0.04756514189013278,11523.0
RARE/USDT,0.13287824332843035,4759.0
SSV/USDT,27.064224666666668,30.0
LAZIO/USDT,1.679,275.0
CHESS/USDT,0.1939557571660357,3698.0
DAR/USDT,0.18129227272727272,3740.0
BNX/USDT,0.5713475123395854,1013.0
MOVR/USDT,15.95850654237288,59.0
CITY/USDT,2.0689187190082645,242.0
ENS/USDT,34.64240625,32.0
KP3R/USDT,,0.0
QI/USDT,0.01825,18446.0
PORTO/USDT,1.783,241.0
JASMY/USDT,0.024776891412772416,18446.0
AMP/USDT,0.007526,18446.0
PYR/USDT,3.610478355855856,222.0
ALCX/USDT,21.9342917027027,37.0
SANTOS/USDT,4.251,107.0
BICO/USDT,0.3722409910025707,2334.0
FLUX/USDT,0.7238071910766246,1031.0
VOXEL/USDT,0.19313705898491085,3645.0
HIGH/USDT,1.6902532331838565,446.0
CVX/USDT,2.937100435045317,331.0
PEOPLE/USDT,0.06100235214953271,8025.0
SPELL/USDT,0.0009934,18446.0
JOE/USDT,0.5482294564339296,1733.0
ACH/USDT,0.02863098124254581,18446.0
IMX/USDT,1.760177667386609,463.0
GLMR/USDT,0.27962057168784027,3306.0
LOKA/USDT,0.23757448803827752,3135.0
API3/USDT,2.027645887323944,355.0
ACA/USDT,0.10317234406043047,9664.0
XNO/USDT,1.2752170046801872,641.0
WOO/USDT,0.26125610103626945,3088.0
ALPINE/USDT,1.4793078419452887,329.0
T/USDT,0.03215817570204922,18446.0
ASTR/USDT,0.07916065412919052,9784.0
GMT/USDT,0.19940440300314846,4129.0
KDA/USDT,1.205166507736944,1034.0
APE/USDT,1.322286576402321,517.0
BSW/USDT,0.07585652362681744,9904.0
BIFI/USDT,319.1,1.0
NEXO/USDT,1.393821027131783,516.0
