symbol,best_w1,best_w2,best_w3,best_w4,total_return
ONT/USDT,0.0,0.4,0.2,0.4,4.190013113303093
PROM/USDT,0.1,0.6000000000000001,0.0,0.30000000000000004,33.226447502013556
FIRO/USDT,0.4,0.6000000000000001,0.0,0.0,10.353926492807286
