ts,symbol,price,reason_event,block_macdh_leq0,block_not_in_lane,block_edge,block_adx_gray,rsi,macdh,adx,rvol,atr_pct,ema_fast,ema_slow,mfe_1h,mfe_6h,mfe_24h
2025-10-26T09:30:00Z,SOL/USDT,195.86,ADX_gray_push,0,0,1,1,69.64048194013864,0.1979795476044287,20.359543350516372,3.618861783182959,0.002910558731776353,194.22464519159092,193.8140445595736,0.291,1.297,1.297
2025-10-26T09:15:00Z,SOL/USDT,196.1,ADX_gray_push,0,0,1,1,73.21446203618281,0.14928621802269676,17.463905266110142,6.551826441552843,0.0027187339524104735,194.05250258017944,193.73053617425006,0.168,1.173,1.173
2025-10-26T09:00:00Z,ETH/USDT,3958.66,ADX_gray_push,0,0,1,1,64.74229338232084,1.9161295502572817,19.890001319771304,0.7488238501879555,0.0016056586216579198,3948.9884941718565,3945.7773778716423,1.328,3.064,3.064
2025-10-26T08:45:00Z,ETH/USDT,3960.05,ADX_gray_push,0,0,1,1,67.05311679174432,2.0733889135925425,17.86576334441712,2.5359275017365603,0.0016355192063226241,3947.970440926789,3945.2515565602807,1.293,3.027,3.027
2025-10-26T08:30:00Z,BTC/USDT,111838.8,ADX_gray_push,0,0,1,1,66.18829344471865,30.345697610767346,20.51064322501859,1.7028642403913326,0.0008142836436379782,111651.0584484616,111588.00480798952,0.841,1.778,1.778
2025-10-26T08:15:00Z,BTC/USDT,111795.74,ADX_gray_push,0,0,1,1,63.970343005829875,29.00576131988814,18.919481809815952,1.0673470055246999,0.000812765989320122,111631.29617987861,111577.76826954012,0.845,1.817,1.817
2025-10-26T08:00:00Z,BTC/USDT,111808.68,ADX_gray_push,0,0,1,1,65.16312819663345,28.400482735596995,17.55345456413579,1.3164549151044347,0.0008242740071840385,111613.98630407636,111568.87146421522,0.037,1.805,1.805
2025-10-26T07:00:00Z,SOL/USDT,194.21,ADX_gray_push,0,0,1,1,62.14956757665624,0.14526799824139336,17.25367440916326,1.0320289721632638,0.0021682582589730593,193.56081050978707,193.47524696876027,0.051,2.157,2.157
2025-10-26T05:15:00Z,BTC/USDT,111508.62,Breakout_macd_leq0,1,1,1,1,50.01968241136512,-2.9169399921789534,18.848628762109335,0.6656645014657686,0.000998426255992226,111493.53000857265,111516.30881819942,0.128,1.14,2.079
2025-10-26T04:15:00Z,BTC/USDT,111407.0,ADX_gray_push,1,1,1,1,44.274004690422395,-36.529220299116744,20.973506612060476,0.43932300602465924,0.0011394732705731427,111506.95700982357,111525.3996098168,0.094,1.232,2.172
